Job Type,Job URL,Title,Company,Experience,Salary,Location,Education,Skills,Role,Industry Type,Department,Employment Type,Role Category,Description
python-developer,https://www.naukri.com/job-listings-python-developer-wadhwani-institute-of-technology-and-policy-bengaluru-0-to-2-years-250825505125,Python developer,Wadhwani Foundation,0 - 2 years,Not Disclosed,Bengaluru,EducationUG:Any GraduatePG:Any Postgraduate,"[[], ['SIDE', 'Backend', 'NoSQL', 'GCP', 'Postgresql', 'MySQL', 'MongoDB', 'Engineering Lead', 'SQL', 'Python']]","Full Stack Developer ,","NGO / Social Services / Industry Associations ,","Engineering - Software & QA ,","Full Time, Permanent",Software Development,"Job Title: Pythondeveloper Location: Bangalore (Hybrid) Department: Platform Engineering Reports to: Engineering Lead JobSummary: As a Python developer , you willcontribute to the development and maintenance of backend components of our AIenabled applications. You will work closely with senior engineers andcross-functional teams to build reliable, scalable APIs and integrate withthird party services and data pipelines. This role is hybrid. You will gain exposure to best practices insoftware development, code quality, and modern development workflows whilegrowing your skills in a collaborative and fast-paced environment. Duties / Responsibilities Develop and maintain secure and scalable REST APIs and server-side logic. Work with SQL (PostgreSQL, MySQL), NoSQL (MongoDB to design schemas, write queries, optimize performance, and support scalable AI/ML applications. Assist in building and maintaining microservices, data models, and data pipelines. Participate in code reviews and incorporate feedback to improve code quality. Collaborate with product managers, designers, and team members to understand requirements and deliver solutions. Contribute to testing, debugging, and performance optimization activities. Stay updated with emerging tools, technologies, and development practices. Qualifications/ Skills 0-2 years of experience in backend development using Python. Hands-on experience with at least one framework (Django, Flask, or Fast API). Strong understanding of REST API development, server-side logic, and scalability principles. Familiarity with deployment on cloud platforms (AWS, GCP, Azure), experience with Azure is a plus. Strong problem-solving skills and ability to debug/optimize applications. Excellent communication and collaboration skills with a willingness to learn."
python-developer,https://www.naukri.com/job-listings-python-software-developer-pan-india-infosys-hyderabad-pune-bengaluru-9-to-10-years-310725029868,Python Software Developer - Pan  India,Infosys,9 - 10 years,Not Disclosed,"Hyderabad,Pune,Bengaluru","EducationUG:B.Sc in Any Specialization, BCA in Any Specialization, B.Tech/B.E. in Any SpecializationPG:M.Tech in Any Specialization, MS/M.Sc(Science) in Any Specialization, MCA in Any Specialization","[['Postgresql', 'Python Developer', 'Elastic Search', 'Python', 'Flask'], ['Django']]","Software Development - Other ,","IT Services & Consulting ,","Engineering - Software & QA ,","Full Time, Permanent",Software Development,"Job description Hiring for Python Developer with experience range 5 to 10yrs. Mandatory Skills: Python Developer-Python, , Flask, Django, Education: BE/B.Tech/MCA/M.Tech/MSc./MSts"
python-developer,https://www.naukri.com/job-listings-senior-software-developer-python-siemens-limited-bengaluru-5-to-10-years-210825923541,Senior Software Developer  Python,Siemens,5 - 10 years,Not Disclosed,Bengaluru,EducationUG:Any GraduatePG:Any Postgraduate,"[['python', 'software development', 'design patterns', 'oops', 'aws'], ['continuous integration', 'rest', 'dl', 'ci/cd', 'microsoft azure', 'aws sagemaker', 'machine learning', 'data engineering', 'docker', 'rust', 'deep learning', 'git', 'grafana', 'devops', 'telemetry', 'prometheus', 'etl', 'ci cd pipeline', 'ml']]","Data Platform Engineer ,","IT Services & Consulting ,","Engineering - Software & QA ,","Full Time, Permanent",Software Development,"We are looking for: Senior Software Developer Python , Youll make an impact by: Write high-quality, testable, and maintainable Python code using object-oriented programming (OOP), SOLID principles, and design patterns. Develop RESTful APIs and backend services for AI/ML model serving using FastAPI. Collaborate with AI/ML engineers to integrate and deploy Machine Learning, Deep Learning, and Generative AI models into production environments. Contribute to software architecture and design discussions to ensure scalable and efficient solutions. Implement CI/CD pipelines and adhere to DevOps best practices for reliable and repeatable deployments. Design for observability, incorporating structured logging, performance monitoring, and alerting mechanisms. Optimize code and system performance, ensuring reliability and robustness at scale. Participate in code reviews, promote clean code practices, and mentor junior developers when needed. Use your skills to move the world forward! Bachelors or Masters degree in Computer Science, IT, or a related field. 5+ years of hands-on experience in software development, with a focus on Python. Deep understanding of OOP concepts, software architecture, and design patterns. Experience with backend web frameworks, preferably FastAPI. Familiarity with integrating ML/DL models into software solutions. Practical experience with CI/CD, containerization (Docker), and version control systems (Git). Exposure to MLOps practices and tools for model deployment and monitoring. Strong collaboration and communication skills in cross-functional engineering teams. Familiarity with cloud platforms like AWS (e.g., Sagemaker, Bedrock) or Azure (e.g., ML Studio, OpenAI Service). Experience in Rust is a strong plus. Experience working on high-performance, scalable backend systems. Exposure to logging/monitoring stacks like Prometheus, Grafana, ELK, or Open Telemetry. Understanding of data engineering concepts, ETL pipelines, and processing large datasets. Background or interest in the Power and Energy domain is a plus."
python-developer,https://www.naukri.com/job-listings-python-developer-iqvia-kochi-pune-bengaluru-4-to-9-years-040625031989,Python Developer,IQVIA,4 - 9 years,Not Disclosed,"Kochi,Pune,Bengaluru",EducationUG:Any Graduate,"[['Python Development', 'Python'], ['Artificial Intelligence', 'API']]","Back End Developer ,","IT Services & Consulting ,","Engineering - Software & QA ,","Full Time, Permanent",Software Development,"Project Role: Senior Python Developer Work Experience: 4 to 9 Years Work location : Bengaluru, Kochi, Pune Must Have Skills: Python, API Job Summary: We are seeking a Senior Python Developer with a strong foundation in backend development and a passion for clean, efficient code. This role is ideal for someone who is eager to grow into the field of Artificial Intelligence and Machine Learning. After joining, you will be enrolled in a structured AI/ML training program to help you transition into advanced data-driven development. Key Responsibilities: Develop and maintain scalable Python-based applications and services. Collaborate with product managers, designers, and other developers to deliver high-quality software. Write clean, testable, and efficient code. Participate in code reviews and mentor junior developers. Troubleshoot and resolve technical issues across the stack. Required Skills: 5+ years of experience in Python development. Strong understanding of software engineering principles and design patterns. Experience with REST APIs, microservices, and cloud platforms (AWS, Azure, or GCP). Familiarity with relational and NoSQL databases. Proficient in Git and CI/CD workflows. AI/ML Upskilling Opportunity: As part of our commitment to continuous learning, once you join you will receive hands-on training in AI/ML. Real-world projects in machine learning and data science. Mentorship from experienced AI engineers. Educational Qualification: BTech/BE/BSc/BCA/MTech/MSc/MCA"
python-developer,https://www.naukri.com/job-listings-python-developer-mobile-programming-llc-noida-pune-bengaluru-4-to-6-years-250825911992,Python Developer,Mobile Programming,4 - 6 years,Not Disclosed,"Noida,Pune,Bengaluru",EducationUG:B.Tech/B.E. in Any SpecializationPG:Any Postgraduate,"[['continuous integration', 'machine learning', 'javascript', 'tensorflow', 'keras'], ['css', 'scikit-learn', 'ci/cd', 'microsoft azure', 'python development', 'docker', 'sql', 'nosql', 'containerization', 'git', 'gcp', 'devops', 'html', 'agile', 'ci cd pipeline']]","Search Engineer ,","IT Services & Consulting ,","Engineering - Software & QA ,","Full Time, Permanent",Software Development,"We are seeking a highly skilled and passionate Python Developer to join our dynamic team As a Python Developer, you will play a key role in designing, developing, and maintaining software solutions that drive business value This is an excellent opportunity for an individual who thrives in a fast-paced environment and is eager to work on exciting projects with the latest technologies Responsibilities: Design, develop, and maintain robust Python-based applications Collaborate with cross-functional teams to understand requirements and deliver high-quality solutions Write clean, efficient, and scalable code following best practices Conduct thorough testing of applications to ensure reliability and performance Troubleshoot and debug software issues, ensuring smooth and efficient operation Stay up-to-date with the latest trends and technologies in Python development Participate in code reviews and contribute to improving the development process Document code and software solutions for future reference Requirements: Proven experience as a Python Developer or similar role Strong understanding of Python frameworks such as Django, Flask, or FastAPI Experience with version control systems like Git Knowledge of database systems (SQL, NoSQL) Familiarity with cloud platforms (AWS, Azure, or Google Cloud) Ability to write clean, modular, and reusable code Strong problem-solving skills and attention to detail Excellent communication skills and ability to work collaboratively in a team Familiarity with agile development methodologies Preferred Skills: Experience with machine learning libraries (eg, TensorFlow, Keras, Scikit-learn) Knowledge of containerization technologies like Docker Understanding of front-end technologies (HTML, CSS, JavaScript) is a plus Exposure to DevOps practices and CI/CD pipelines Location - Bengaluru,Noida,Pune,Mumbai,Hyderabad,Mohali,Panchkula,Chennai"
python-developer,https://www.naukri.com/job-listings-python-developer-sp-software-bengaluru-7-to-9-years-250825019582,Python Developer,SP Software,7 - 9 years,Not Disclosed,Bengaluru,EducationUG:B.Tech/B.E. in Any Specialization,"[['Fast Api', 'Microservice Based Architecture', 'Python', 'SQL'], []]","Back End Developer ,","IT Services & Consulting ,","Engineering - Software & QA ,","Full Time, Permanent",Software Development,"Role & responsibilities • Design, develop, and maintain scalable Python applications for cloud environments. • Manage relational databases using PostgreSQL, ensuring data integrity, performance, and optimization. • Develop and deploy applications on Google Cloud Platform (GCP), leveraging services such as Google Compute Engine, Google Kubernetes Engine, and Cloud Functions. • Utilize Kubernetes for container orchestration, ensuring efficient application scaling, deployment, and management. • Collaborate with cross-functional teams to define, design, and deliver new features. • Implement best practices for security, monitoring, and reliability within cloud-based environments. • Troubleshoot and resolve software and cloud infrastructure issues. • Contribute to code reviews, documentation, and continuous improvement of development processes. Requirements: • 3-6 years of experience with Python programming, including frameworks and libraries relevant to cloud development. • Strong knowledge of PostgreSQL, including database design, indexing, and query optimization. • Hands-on experience with Google Cloud Platform (GCP) and its various services. • Proficiency in using Kubernetes for container orchestration and management. • Familiarity with CI/CD pipelines and DevOps practices. • Experience in microservices architecture is a plus. • Excellent problem-solving skills and the ability to work independently or as part of a team. • Strong communication skills, both verbal and written"
python-developer,https://www.naukri.com/job-listings-python-developer-awign-expert-bengaluru-4-to-9-years-250825503709,Python Developer,Awign Expert,4 - 9 years,Not Disclosed,Bengaluru,EducationUG:Any GraduatePG:Any Postgraduate,"[[], ['Computer science', 'Backend', 'Version control', 'MySQL', 'Debugging', 'Agile', 'Scrum', 'Unit testing', 'SQL', 'Python']]","Search Engineer ,","Internet ,","Engineering - Software & QA ,","Full Time, Permanent",Software Development,"Job_Description"":"" Role Overview: We are seeking skilled Backend Developers to design, build, and maintain efficient, scalable, and secure server-side logic and services. The ideal candidate will have strong expertise in Python, Flask, and Google Cloud Platform (GCP), with experience building APIs, handling databases, and integrating cloud services in production environments. Required Experience: 4+ Years Location: Chennai, Open for remote for strong candidates Key Responsibilities: Collaborate with project teams to understand business requirements and develop efficient, high-quality code. Design and implement low-latency, high-availability, and performant applications using frameworks such as Flask, or FastAPI. Integrate multiple data sources and databases into a unified system while ensuring seamless data storage and third-party library/package integration. Create scalable and optimized database schemas to support complex business logic and manage large volumes of data. Conduct thorough testing using pytest and unittest, debugging applications to ensure they run smoothly. Required Skills & Qualifications: 3+ years of experience as a Python developer with strong communication skills. Bachelors degree in Computer Science, Software Engineering or a related field. In-depth knowledge of Python frameworks such as Flask, or FastAPI. Strong expertise in cloud technologies, GCP preferred. Deep understanding of microservices architecture, multi-tenant architecture, and best practices in Python development. Familiarity with serverless architecture and frameworks like GCP Cloud Functions. Experience with deployment using Docker, Nginx, Gunicorn. Hands-on experience with SQL and NoSQL databases such as MySQL and Firebase. Proficiency with Object Relational Mappers (ORMs) like SQLAlchemy. Demonstrated ability to handle multiple API integrations and write modular, reusable code. Strong knowledge of user authentication and authorization mechanisms across multiple systems and environments. Familiarity with scalable application design principles and event-driven programming in Python. Solid experience in unit testing, debugging, and code optimization. Hands-on experience with modern software development methodologies, including Agile and Scrum. Experience with CI/CD pipelines and automation tools like Jenkins, GitLab CI, or CircleCI. Experience with version control system. "" , ""Job_Type"":""Contract"" , ""Job_Opening_Name"":""Python Developer"" , ""Role_Code"":""SEC5"" , ""Experience_Required_Max"":""8"" , ""State"":""Tamil Nadu"" , ""Currency"":""INR"" , ""Country"":""India"" , ""Zip_Code"":""560001"" , ""id"":""85902000020578164"" , ""Type_of_Engagement"":""Hourly Contract"",""Publish"":true,"""
python-developer,https://www.naukri.com/job-listings-python-developer-scout-incorporation-mumbai-hyderabad-bengaluru-2-to-7-years-250825025309,Python Developer,Scout Incorporation,2 - 7 years,18-33 Lacs P.A.,"Mumbai,Hyderabad,Bengaluru",EducationUG:Any Graduate,"[['Python'], ['Api Design And Development', 'Python Development']]","Software Development - Other ,","IT Services & Consulting ,","Engineering - Software & QA ,","Full Time, Permanent",Software Development,"We're looking for Python Developers. Must have Qualification/Skills: 2+ years of non-internship professional Python Developer experience Strong proficiency in Python programming. Proficiency in API development Strong foundation in data structures and OOP concepts. Experience with Git or other version control systems. Problem-solving mindset and ability to work in agile environments. Good problem-solving abilities and willingness to learn. (*Note: This is a requirement for one of Scout's clients) Roles and openings are subject to change. The client reserves the right to modify, reassign, or withdraw any role, requirements, number of positions, or timelines at any time during the hiring process. Submission of an application does not guarantee assignment to a particular role or an offer of employment. All hires are contingent on standard pre-employment screening and eligibility verification."
python-developer,https://www.naukri.com/job-listings-python-developer-ai-rationalz-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-10-to-15-years-250825501984,Python Developer (AI),Rationalz,10 - 15 years,Not Disclosed,"Kolkata,Mumbai,New Delhi,Hyderabad,Pune,Chennai,Bengaluru",EducationUG:Any GraduatePG:Any Postgraduate,"[[], ['Computer science', 'Backend', 'Architecture', 'Scalability', 'Debugging', 'Agile', 'Performance optimization', 'Data analytics', 'Troubleshooting', 'Python']]","Data Platform Engineer ,","IT Services & Consulting ,","Engineering - Software & QA ,","Full Time, Permanent",Software Development,"Urgently hiring for one of our direct client in Pune. Job Title- Python Developer (AI) Location- Pune Hinjewadi Phase 3 / Kharadi - Onsite (No WFH) Job Type- 12+ months ongoing contract Experience- 10+ Years Relevant experient - 5+ years Overview: Bachelors (IT/Computer Science Preferred); master s degree preferred (IT/Computer Science Preferred) or equivalent experience Develop and maintain python applications and models. Ensure the backend architecture is scalable, secure, and performs well under load Experienced in Python Programming and familiar with python modules and packages for data analytics (pandas, numpy). Maintain the webapp and ui components Experience in backend development with Python and Flask. Contribute to the design and implementation of CI/CD pipelines using GitLab Experience with RESTful API development and integration. Familiarity with cloud platforms (Azure). Strong understanding of software development best practices, including security, scalability, and performance optimization Ability to work independently and collaboratively in a agile team environment Debug and troubleshoot any backend-related issues that arise during development or production Document processes, technical decisions, and architecture. Good to have expertise in AI"
python-developer,https://www.naukri.com/job-listings-python-developer-face-to-face-interview-on-30th-aug-coimbatore-ey-coimbatore-8-to-13-years-220825003207,Python Developer (Face-To-Face Interview on 30th Aug- Coimbatore),EY,8 - 13 years,Not Disclosed,Coimbatore,EducationUG:Any Graduate,"[['Django', 'Fast Api', 'Python', 'Flask'], ['Rest Api', 'SQL']]","Other ,","Management Consulting ,","Other ,","Full Time, Permanent",Other,"Currently Hiring Python Developer at Coimbatore EY GDS Office Position overview: Exp: 4- 13 yrs Skills: Python, Django, Flask, Fast API, NumPy, Pandas, SQL, Rest API Location: Coimbatore Interested and available candidates for Face-To-Face Interview on 30th Aug at Coimbatore Office, Can apply to role"
